uniqid,ew,y,east,nw,south,age,female,occupation,form_educ,pmi,det_risk,sanct,tax_mor,fin_diff,resp_coop,wex
80000300,0,NA,0,1,0,42,0,4,3,1,1,2,9,1,2,5263.893066
80000310,0,NA,0,1,0,26,1,4,3,1,2,2,10,3,3,3701.405518
80000312,0,NA,0,1,0,33,1,3,3,0,1,1,10,3,3,3701.405518
80000321,0,NA,0,1,0,40,1,4,2,1,3,2,7.2,3,2,3774.026367
80000338,0,NA,0,1,0,22,1,4,3,0,2,1,7.6,3,3,7673.626953
80000339,0,NA,0,1,0,47,0,4,3,0,4,2,10,3,3,4753.654297
80000351,0,NA,0,1,0,33,1,2,2,0,2,1,10,3,2,2424.484863
80000353,0,NA,0,1,0,37,1,4,2,1,3,2,9,2,3,3677.198486
80000355,1,0.2,0,1,0,48,0,2,3,0,4,1,4.4,1,2,3600.038574
80000366,0,NA,0,1,0,20,0,4,2,0,2,2,7.4,2,2,4759.706055
80000385,0,NA,0,1,0,36,1,2,3,0,3,2,10,3,3,4103.847168
80000386,0,NA,0,1,0,66,1,3,3,1,1,1,2,3,3,2710.43042
80000387,0,NA,0,1,0,36,0,4,2,1,2,2,3.8,2,2,6165.98291
80000389,0,NA,0,1,0,50,0,3,3,1,2,1,8,3,3,3403.734619
80000396,1,0.2,0,1,0,37,1,3,2,1,4,2,4.6,3,3,3561.458496
80000397,0,NA,0,1,0,43,1,3,3,1,3,2,10,3,3,4105.360352
80000399,1,0.2,0,1,0,68,0,4,3,1,4,2,4.8,3,3,2130.974609
80000405,0,NA,0,1,0,50,1,2,2,1,2,1,2.8,2,2,3607.981445
80000409,0,NA,0,1,0,29,0,4,2,1,2,2,7.2,2,1,6305.17334
80000414,0,NA,0,1,0,21,1,4,2,1,3,2,9.2,2,1,5668.982422
80000428,0,NA,0,1,0,20,0,4,2,0,2,2,7.2,2,1,4759.706055
80000432,0,NA,0,1,0,45,0,3,2,0,2,2,7.6,2,1,3440.42334
80000435,0,NA,0,1,0,50,0,4,2,1,3,2,9,2,3,3916.999268
80000472,0,NA,0,1,0,60,0,4,3,0,2,2,10,3,2,2607.550537
80000473,0,NA,0,1,0,65,1,4,2,1,3,2,6,3,2,2549.680664
80000478,0,NA,0,1,0,50,0,4,2,1,1,2,8.84437970670504,2,3,3916.999268
80000482,0,NA,0,1,0,69,0,3,3,1,4,1,4.6,3,3,2490.676025
80000498,0,NA,0,1,0,26,1,4,3,0,4,1,7.6,2,1,3701.405518
80000514,1,0.23,0,1,0,53,1,2,3,1,3,2,4.2,3,2,4343.647949
80000515,0,NA,0,1,0,52,1,4,2,1,3,2,10,1,0,4105.360352
80000516,0,NA,0,1,0,60,1,2,3,0,2,1,7.4,3,2,3676.063721
80000521,1,0.2,0,1,0,56,0,3,2,1,1,2,7,3,3,2426.75415
80000526,0,NA,0,1,0,20,1,3,2,1,2,2,8,2,1,5914.457031
80000527,0,NA,0,1,0,37,1,3,3,1,2,2,7.6,2,1,3561.458496
80000528,0,NA,0,1,0,55,0,2,1,1,2,2,10,2,1,2946.44873
80000529,0,NA,0,1,0,56,1,4,1,1,2,2,10,2,1,4090.987305
80000531,0,NA,0,1,0,29,0,4,2,1,2,3,9.2,2,1,6574.85498
80000541,0,NA,0,1,0,40,0,2,3,0,3,1,8.2,3,3,3600.038574
80000549,0,NA,0,1,0,51,1,4,2,1,4,2,9.17256637095105,3,3,3407.895264
80000552,0,NA,0,1,0,48,1,4,3,1,3,2,8.07734688651932,2,2,3924.563965
80000553,0,NA,0,1,0,42,1,4,2,1,2,2,10,3,3,3407.895264
80000556,0,NA,0,1,0,29,1,2,3,0,2,2,8,2,3,3561.458496
80000559,0,NA,0,1,0,37,0,4,2,1,2,2,8,3,3,6574.85498
80000562,0,NA,0,1,0,58,1,3,2,1,3,2,9.4,3,3,4090.987305
80000565,0,NA,0,1,0,34,1,2,3,0,2,3,8.4,3,3,3561.458496
80000570,0,NA,0,1,0,52,0,4,2,1,3,2,8.8805387020916,3,3,5263.893066
80000573,0,NA,0,1,0,28,0,4,2,1,2,2,9.4,3,3,6574.85498
80000579,0,NA,0,1,0,55,0,2,2,0,2,2,8,3,3,2946.44873
80000586,0,NA,0,1,0,41,1,2,3,1,2,2,10,3,3,3774.026367
80000588,0,NA,0,1,0,40,0,2,3,0,3,1,8.2,3,3,3600.038574
80000590,0,NA,0,1,0,54,1,3,2,0,3,1,9.4,3,3,3774.026367
80000597,0,NA,0,1,0,53,1,2,3,1,3,2,9.2,3,3,3774.026367
80000605,0,NA,0,1,0,34,0,2,3,0,3,2,9.6,3,3,6574.85498
80000609,0,NA,0,1,0,40,0,2,3,0,3,2,7.4,3,3,3600.038574
80000615,0,NA,0,1,0,56,1,3,1,0,3,2,8,3,3,4090.987305
80000626,0,NA,0,1,0,47,0,2,3,0,3,2,10,3,3,3600.038574
80000628,0,NA,0,1,0,44,1,2,3,0,3,2,8.6,3,3,3774.026367
80000647,0,NA,0,1,0,33,0,3,3,1,4,2,6.8,2,3,7598.736328
80000667,0,NA,0,1,0,56,0,2,3,0,3,2,8.8,3,3,2946.44873
80000675,0,NA,0,1,0,43,0,2,3,1,2,2,8.6,3,3,3600.038574
80000677,0,NA,0,1,0,22,0,2,2,0,2,2,9.4,3,3,4970.004883
80000682,0,NA,0,1,0,27,1,3,3,0,3,2,8.4,3,1,3701.405518
80000705,0,NA,0,1,0,43,1,4,3,0,3,2,9.6,2,3,4974.921875
80000706,0,NA,0,1,0,41,0,2,3,0,4,2,10,3,3,4753.654297
80000707,0,NA,0,1,0,47,0,3,3,0,4,2,9.4,3,3,4753.654297
80000709,0,NA,0,1,0,56,0,4,3,1,2,3,8.8,2,2,4371.637207
80000711,0,NA,0,1,0,35,1,2,3,1,3,3,10,2,3,5212.075195
80000713,0,NA,0,1,0,54,1,3,2,1,3,2,9,2,3,3774.026367
80000714,0,NA,0,1,0,49,0,4,3,1,1,2,8.4,2,3,5263.893066
80000717,0,NA,0,1,0,53,1,4,2,0,4,2,10,2,3,3774.026367
80000721,0,NA,0,1,0,39,1,2,2,1,3,2,7.2,3,3,3561.458496
80000725,0,NA,0,1,0,45,0,4,2,1,4,2,10,2,3,3600.038574
80000728,0,NA,0,1,0,49,1,4,3,0,2,2,9.2,3,2,3774.026367
80000732,0,NA,0,1,0,53,1,3,2,0,2,2,8.4,3,2,3774.026367
80000733,1,0.19,0,1,0,33,0,2,3,1,2,1,4.2,2,3,6574.85498
80000737,0,NA,0,1,0,48,1,4,2,1,4,2,10,3,3,3895.439941
80000738,0,NA,0,1,0,32,1,3,3,1,1,2,10,2,3,3677.198486
80000741,0,NA,0,1,0,25,0,3,2,1,3,2,10,2,3,6764.729004
80000750,0,NA,0,1,0,50,0,4,2,1,1,3,10,2,1,3246.388916
80000756,0,NA,0,1,0,32,1,2,3,1,3,1,4.6,3,3,3326.952881
80000763,0,NA,0,1,0,20,1,3,2,1,2,2,6.8,2,3,4782.400391
80000764,0,NA,0,1,0,58,1,3,3,1,2,2,7.4,2,3,3253.575439
80000767,0,NA,0,1,0,28,0,3,3,1,2,2,7.8,2,3,4659.095703
80000768,0,NA,0,1,0,41,0,4,2,1,2,1,6.6,2,3,2453.608887
80000770,0,NA,0,1,0,35,0,3,3,1,2,1,6,3,3,4659.095703
80000772,0,NA,0,1,0,41,0,4,2,1,3,1,7.2,2,3,2843.190674
80000776,0,NA,0,1,0,55,0,4,2,0,2,1,7.8,2,3,2286.807373
80000789,0,NA,0,1,0,28,1,4,2,1,3,2,7.62469759831548,2,0,3875.393311
80000825,0,NA,0,1,0,60,1,2,2,1,1,2,10,3,3,4257.788574
80000832,0,NA,0,1,0,47,1,4,2,1,2,1,5.2,2,3,4343.647949
80000843,0,NA,0,1,0,52,0,4,2,1,3,2,5,1,2,4146.96582
80000850,0,NA,0,1,0,27,1,2,3,0,2,2,3.4,3,2,3194.570801
80000852,1,0.2,0,1,0,26,0,3,3,1,2,1,5,3,2,6574.85498
80000871,0,NA,0,1,0,68,0,3,1,1,2,2,10,2,1,2130.974609
80000873,0,NA,0,1,0,52,0,3,2,1,2,2,10,2,1,3600.038574
80000874,0,NA,0,1,0,30,1,4,2,1,2,2,8.8,2,1,3561.458496
80000895,0,NA,0,1,0,32,1,3,2,0,2,2,5,2,1,3561.458496
80000906,0,NA,0,1,0,28,0,3,2,0,2,2,5.8,2,1,6574.85498
80000911,0,NA,0,1,0,25,0,4,2,0,2,2,6.6,3,1,6574.85498
80000923,0,NA,0,1,0,22,0,3,3,0,2,2,6,2,2,4970.004883
80000924,0,NA,0,1,0,59,1,4,3,0,3,2,10,3,3,5375.850586
80000958,0,NA,0,1,0,66,1,4,1,1,2,2,6,2,1,3845.512939
80000964,0,NA,0,1,0,63,0,2,2,0,2,2,5.6,3,3,2946.44873
80000966,0,NA,0,1,0,49,1,4,2,1,2,2,8,2,3,3895.439941
80000971,0,NA,0,1,0,26,0,4,3,0,4,2,10,2,3,6574.85498
80000974,1,NA,0,1,0,20,0,4,2,1,3,2,8.4,2,3,5121.676758
80000975,0,NA,0,1,0,67,0,3,2,1,4,1,5.2,3,2,1974.007202
80000976,0,NA,0,1,0,48,0,4,3,0,3,2,5,3,3,3600.038574
80000977,0,NA,0,1,0,36,1,2,3,1,2,2,9.4,3,3,3561.458496
80000978,0,NA,0,1,0,24,0,2,3,0,3,2,9.2,3,3,4970.004883
80000982,0,NA,0,1,0,37,1,2,3,0,4,2,2,3,3,3561.458496
80000986,0,NA,0,1,0,35,1,3,3,1,2,2,3,3,3,3561.458496
80000988,0,NA,0,1,0,49,1,2,3,0,2,2,10,3,3,3774.026367
80000989,0,NA,0,1,0,55,0,2,3,1,2,2,9.6,2,2,4371.637207
80000993,0,NA,0,1,0,58,0,4,2,1,3,2,9.2,3,3,3206.674316
80000995,0,NA,0,1,0,47,0,2,3,1,2,3,9,3,1,5263.893066
80001001,0,NA,0,1,0,29,1,3,2,0,3,2,6.4,2,3,3561.458496
80001003,0,NA,0,1,0,33,0,3,3,1,2,2,10,3,2,6574.85498
80001005,0,NA,0,1,0,40,1,2,3,0,3,2,8.2,3,3,3774.026367
80001006,0,NA,0,1,0,36,0,3,2,1,2,2,8.6,3,2,6574.85498
80001014,0,NA,0,1,0,30,0,2,2,1,3,3,10,3,2,4659.095703
80001020,0,NA,0,1,0,50,0,2,1,0,3,2,10,3,3,3916.999268
80001021,0,NA,0,1,0,83,1,4,2,0,3,2,10,3,3,2881.770752
80001022,0,NA,0,1,0,55,0,4,2,1,2,2,9,2,3,3045.924561
80001025,0,NA,0,1,0,32,1,2,3,0,1,3,10,3,3,4705.240234
80001026,0,NA,0,1,0,43,0,4,2,1,4,3,10,3,3,4753.654297
80001027,0,NA,0,1,0,31,1,3,3,0,2,2,7.8,3,3,4705.240234
80001028,0,NA,0,1,0,54,0,4,1,1,3,2,7.8,2,3,3600.038574
80001030,0,NA,0,1,0,60,0,4,1,1,3,2,10,3,3,2946.44873
80001031,0,NA,0,1,0,65,1,4,1,0,3,2,9.2,3,3,2881.770752
80001032,0,NA,0,1,0,47,0,4,2,1,2,3,10,3,3,3600.038574
80001034,0,NA,0,1,0,61,0,2,3,1,2,1,9.2,3,3,2745.984375
80001039,0,NA,0,1,0,22,1,4,2,1,2,2,10,3,3,5914.457031
80001046,0,NA,0,1,0,72,0,4,1,1,3,2,8,3,3,2130.974609
80001048,0,NA,0,1,0,53,1,4,3,0,3,2,8.4,3,3,3774.026367
80001049,0,NA,0,1,0,60,0,4,3,1,4,2,9.4,3,3,3206.674316
80001050,0,NA,0,1,0,55,1,4,1,1,4,2,8.2,2,3,4090.987305
80001051,1,0.23,0,1,0,36,0,3,3,1,2,2,4.6,1,3,7489.04834
80001052,0,NA,0,1,0,60,0,4,3,1,2,3,9,3,3,3206.674316
80001059,0,NA,0,1,0,33,0,4,3,0,1,2,10,3,3,7128.96875
80001066,0,NA,0,1,0,40,1,4,3,0,2,2,2.6,3,2,3387.848877
80001067,0,NA,0,1,0,53,0,2,3,0,3,2,3.6,3,2,3229.746582
80001071,0,NA,0,1,0,35,1,2,2,1,2,2,10,2,3,3677.198486
80001072,0,NA,0,1,0,30,0,4,2,1,2,1,10,2,3,6764.729004
80001074,0,NA,0,1,0,35,1,2,3,1,3,1,10,3,3,3677.198486
80001075,0,NA,0,1,0,50,1,4,1,0,3,2,10,3,3,3895.439941
80001086,0,NA,0,1,0,38,0,4,2,1,1,2,10,2,3,5930.342773
80001122,0,NA,0,1,0,21,0,2,3,0,3,2,9.6,2,2,5688.650879
80001165,0,NA,0,1,0,55,0,3,3,0,4,1,10,3,3,3926.833252
80001173,0,NA,0,1,0,58,0,4,2,1,2,2,7,2,2,2286.807373
80001178,0,NA,0,1,0,37,1,3,3,1,4,2,6.2,2,1,2810.28418
80001182,0,NA,0,1,0,28,1,3,3,1,2,2,6.2,3,1,2810.28418
